"P. O. #","Other 1"
"112-5019692-7303442","WHSE"
"113-3309223-2838623","165847"
"114-4109080-0379435","165848"
"114-9685719-7062601","165849"
"12467","165850"
"12467",
"12468","165851"
"12468",
"12470","165852"
"112-5608016-1727468","WHSE"
"114-1287617-1823422","165853"
"12473","165854"
"12473",
"12474","165855"
"12475","WHSE"
"113-4371904-5537818","165856"
"113-5690764-8927400","165857"
"114-3550982-6052223","165858"
"114-3726300-1709807","165859"
"12480","165860"
"12481","165861"
"114-8211283-6847446","WHSE"
"12466","165862"
"12469","165863"
"12469",
"12471","165864"
"12472","165865"
"12477","165866"
"12478","165867"
"12478","165867"
"12478","165867"
"12479","165868"
"12482","165872"
"12483","165873"
"12483","165880"
"12483","165873"
"12483","WHSE"
"12483",
"12484","165874"
"112-9021283-6350636","165875"
"113-1399861-6296234","165876"
"113-1736361-1229809","165878"
"113-2143770-5529806","165877"
"114-7514123-6273002","165879"
"12485","165880"
"112-4847371-9160203","WHSE"
"114-1943641-9845061","165881"
"114-8277637-8292243","165882"
"12486","165883"
"12487","165884"
"12487",
"12488","WHSE"
"12490","165895"
"12490","165895"
"12491","165896"
"113-6603104-1043422","165897"
"12489","165898"
"12489","165898"
"12489","165898"
"12492","165899"
"111-2696046-7953822","165900"
"113-0573606-6326656","WHSE"
"12493","165901"
"12494","165902"
"12494","165902"
"12494","165902"
"12494",
"12495","165903"
"12496","165905"
"111-3461432-0639444","WHSE"
"12497","165911"
"12497","165911"
"12498","165913"
"12498","165913"
"12498","165913"
"111-4694402-1767428","165914"
"12499","165915"
"12499","165915"
"12499","165915"
"12499","165915"
"12500","WHSE"
"12502","165916"
"111-8094536-3555412","WHSE"
"112-1085650-3413028","165917"
"12501","165918"
"12501",
"12503","165919"
"12505","165932"
"12505",
"12505",
"12505",
"12506","165920"
"12506",
"112-6810811-6973816","165925"
"113-2164090-6225067","165921"
"12509","165922"
"12509","WHSE"
"12509","165922"
"23415","165926"
"23415","165927"
"23415","165926"
"23415","165928"
"23415","165926"
"23415","165929"
"23415","165930"
"23415","165926"
"23415","165926"
"23415","165926"
"23415","165926"
"12514","165935"
"12514",
"12514",
"12514",
"12514",
"12514",
"113-6979152-2113031","whse"
"12516","165934"
"12516",
"12517","whse"
"12518","165956"
"111-0421960-9961053","165933"
"12520","165460"
"112-9288528-6383437","165473"
"12522","165475"
"12522","165475"
"12522","165475"
"12522","165475"
"12522","WHSE"
"12522",
"12522",
"TOTAL",
